RUA ID,Sex,Genotype,Dose mg_kg,Compound,Age_weeks,Pre Body wt_g,Body at Sac_g,Liver Weight_g,LW_BW,ALT
RUA33,M,KO,10,Compound 1,11,519,466,14.53,3.12,25.46
RUA34,M,KO,10,Compound 1,11,397,424,18.36,4.33,27.75
RUA35,M,KO,10,Compound 1,11,409,380,15.67,4.12,35.68
RUA36,M,KO,10,Compound 1,11,410,434,18.05,4.16,354.22
RUA37,M,KO,10,Compound 2,11,446,451,17.23,3.82,31.39
RUA38,M,KO,10,Compound 2,11,398,421,18.98,4.51,22.38
RUA39,M,KO,10,Compound 2,11,535,484,21.95,4.54,54.43
RUA40,M,KO,10,Compound 2,11,529,517,23.33,4.51,32.91
RUA41,M,KO,10,Compound 3,11,515,500,25.76,5.15,32
RUA42,M,KO,10,Compound 3,11,369,347,15.08,4.35,44.4
RUA43,M,KO,10,Compound 3,11,397,413,18.26,4.42,29.9
RUA44,M,KO,10,Compound 3,11,452,443,21.84,4.93,31.12
RUA45,M,KO,0,Vehicle,11,396,407,19.26,4.73,35.09
RUA46,M,KO,0,Vehicle,11,376,383,16.32,4.26,31.12
RUA47,F,WT,10,Compound 2,12,494,546,21.26,3.89,41.32
RUA48,F,WT,10,Compound 2,12,494,530,23.7,4.47,76.34
RUA49,F,WT,10,Compound 2,12,455,479,20.3,4.24,24.79
RUA50,F,WT,10,Compound 2,12,446,479,19.1,3.99,50.17
RUA51,F,WT,10,Compound 2,12,520,558,24.78,4.44,38.44
RUA52,F,WT,0,Vehicle,12,512,541,19.27,3.56,29.32
RUA53,F,WT,0,Vehicle,12,413,420,17.5,4.17,43.32
RUA54,F,KO,10,Compound 2,12,434,478,19.68,4.12,31.45
RUA55,F,KO,10,Compound 2,12,574,595,22.9,3.85,38.78
RUA56,F,KO,10,Compound 2,12,382,430,17.8,4.14,23.8
RUA57,F,KO,0,Vehicle,12,402,417,19.96,4.79,43.28
RUA58,F,KO,0,Vehicle,12,412,415,22.53,5.43,28.43
RUA59,M,WT,10,Compound 2,13,414,427,22.08,5.17,20.94
RUA60,M,WT,10,Compound 2,13,440,443,24.82,5.6,33.86
RUA61,M,WT,10,Compound 2,13,354,364,15.24,4.19,35.15
RUA62,M,WT,10,Compound 2,13,409,422,19.32,4.58,23.8
RUA63,M,WT,10,Compound 3,13,405,411,17.56,4.27,23.94
RUA64,M,WT,10,Compound 3,13,424,442,19.7,4.46,22.98
RUA65,M,WT,10,Compound 3,13,380,399,16.68,4.18,20.13
RUA66,M,WT,10,Compound 3,13,333,350,14.32,4.09,26.1
RUA67,M,WT,0,Vehicle,13,442,464,17.06,3.68,22.31
RUA68,M,WT,0,Vehicle,9,422,451,16.07,3.56,22.2
RUA84,F,KO,10,Compound 2,9,436,442,15.98,3.62,23.69
RUA85,F,KO,10,Compound 2,9,391,412,15.08,3.66,25.13
RUA86,F,KO,0,Vehicle,9,400,401,18.55,4.63,20.53
RUA87,M,WT,10,Compound 1,9,485,476,20.21,4.25,20.55
RUA88,M,WT,10,Compound 1,9,464,433,21.9,5.06,128.28
RUA89,M,WT,10,Compound 1,9,453,460,21.97,4.78,36.61
RUA90,M,WT,0,Vehicle,9,500,512,25.38,4.96,27.53
RUA111,M,KO,10,Compound 1,8,475,485,23.84,4.92,25.96
RUA112,M,KO,10,Compound 2,8,472,470,20.1,4.28,24.75
RUA113,M,KO,0,Vehicle,8,632,630,26.13,4.15,15.25
RUA114,M,KO,0,Vehicle,8,421,340,17.01,5,26.24
RUA115,M,WT,10,Compound 1,9,502,510,20.18,3.96,33.72
RUA116,M,WT,10,Compound 2,9,507,493,18.51,3.75,20.37
RUA117,M,WT,0,Vehicle,9,445,448,16.68,3.72,25.73
RUA118,M,KO,10,Compound 3,9,478,498,24.65,4.95,38.56
RUA119,M,KO,0,Vehicle,9,524,479,19.05,3.98,28.47
RUA120,F,WT,10,Compound 1,9,542,528,20.69,3.92,26.85
RUA121,F,WT,0,Vehicle,9,548,488,20.04,4.11,35.68
RUA177,F,WT,10,Compound 1,9,586,580,23.48,4.05,34.17
RUA178,F,WT,10,Compound 1,9,602,600,27.18,4.53,47.59
RUA179,F,WT,10,Compound 1,9,538,612,22.22,3.63,33.2
RUA180,F,WT,10,Compound 1,9,502,513,18.18,3.54,53.12
RUA181,M,WT,10,Compound 1,9,510,523,19.78,3.78,26.33
RUA182,F,KO,10,Compound 1,9,288,318,15.92,5.01,
RUA183,M,WT,10,Compound 3,9,320,309,16.94,5.48,
RUA184,M,WT,10,Compound 3,9,309,301,16.29,5.41,
RUA185,F,WT,0,Vehicle,9,230,222,10.64,4.79,
RUA186,M,WT,0,Vehicle,9,321,317,15.64,4.93,
RUA187,F,KO,0,Vehicle,9,245,267,10.85,4.06,
RUA188,F,KO,10,Compound 1,10,344,374,18.15,4.85,
RUA189,F,KO,10,Compound 1,11,331,381,17.84,4.68,
RUA190,F,WT,10,Compound 1,10,266,264,15.24,5.77,
RUA191,M,WT,10,Compound 2,10,395,364,18.95,5.21,
RUA196,F,KO,0,Vehicle,10,296,311,13.01,4.18,
RUA197,F,WT,0,Vehicle,10,256,267,10.94,4.1,
RUA198,M,WT,0,Vehicle,10,438,458,23.56,5.14,
